,host_country,year,distance,style,month,week,median_pace,max_pace,n_ski,tourist
76,CHN,2018,25.0,CT,4,13,10.86432957872599,20.63746847053428,300,0.17333333333333334
77,CHN,2018,50.0,CT,4,13,14.186081956252584,21.12924052118793,170,0.788235294117647
78,CZE,2013,25.0,CT,12,48,9.712928987696957,19.44684528954192,907,0.25689084895259096
79,CZE,2013,30.0,FT,11,44,16.669239080104955,22.411288649097322,97,0.16494845360824742
80,CZE,2013,50.0,CT,1,2,11.299435028248588,22.672880715455346,4315,0.2734646581691773
81,CZE,2015,25.0,CT,10,40,10.228435049437435,20.031159581571334,803,0.2727272727272727
82,CZE,2015,30.0,FT,9,36,16.304347826086957,26.354319180087845,407,0.26044226044226043
83,CZE,2015,50.0,CT,11,44,13.563920146170009,28.173423070903112,4016,0.27739043824701193
84,CZE,2016,12.0,CT,9,35,11.899187665442891,25.16016307513104,574,0.2613240418118467
85,CZE,2016,12.0,FT,8,31,14.809736030167981,25.043478260869563,233,0.2832618025751073
86,CZE,2016,16.0,CT,10,39,13.153688056633934,21.55688622754491,2593,0.21596606247589664
87,CZE,2017,25.0,CT,2,7,9.787928221859707,20.3804347826087,673,0.20059435364041606
88,CZE,2017,30.0,FT,2,7,14.512227895726957,22.18570254724733,411,0.12408759124087591
89,CZE,2017,50.0,CT,2,7,12.429222483082448,25.88810585358838,4083,0.18956649522409993
90,CZE,2018,25.0,CT,2,7,10.21566401816118,22.310361923648983,775,0.16
91,CZE,2018,30.0,FT,2,7,14.979218901870592,24.56778889899909,478,0.12343096234309624
92,CZE,2018,50.0,CT,2,7,12.095148556157557,23.91390992427262,4042,0.165264720435428
93,EST,2013,31.0,CT,2,7,10.185270029959808,18.202577067362583,1808,0.10896017699115045
94,EST,2013,63.0,CT,2,7,13.12727904150026,22.906777093222907,5967,0.17445952740070386
95,EST,2014,25.0,FT,9,36,11.509299401079804,16.91411388836685,76,0.34210526315789475
96,EST,2014,51.0,FT,9,36,14.046362175809042,19.695344346706715,81,0.6666666666666666
